instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,run_status,run_elapsed_s,data_dir,out_dir,run_error,status,objective,horizon_days,num_units,num_operations
small/baseline/I012,small,baseline,1011,10,300,2,ok,8.421406,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I012,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I012,,OPTIMAL,143.0,57,28,112
small/baseline/I013,small,baseline,1012,10,300,2,ok,12.511167,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I013,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I013,,OPTIMAL,173.0,57,32,128
small/baseline/I014,small,baseline,1013,10,300,2,ok,3.463676,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I014,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I014,,OPTIMAL,82.0,59,16,64
small/baseline/I015,small,baseline,1014,10,300,2,ok,7.555764,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I015,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I015,,OPTIMAL,136.0,59,26,104
small/baseline/I016,small,baseline,1015,10,300,2,ok,5.169288,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I016,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I016,,OPTIMAL,123.0,58,22,88
small/baseline/I017,small,baseline,1016,10,300,2,ok,11.220964,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I017,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I017,,OPTIMAL,155.0,60,30,120
small/baseline/I018,small,baseline,1017,10,300,2,ok,3.393802,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I018,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I018,,OPTIMAL,92.0,54,18,72
small/baseline/I019,small,baseline,1018,10,300,2,ok,5.919806,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I019,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I019,,OPTIMAL,132.0,51,25,100
small/baseline/I020,small,baseline,1019,10,300,2,ok,4.844114,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/baseline/I020,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/baseline/I020,,OPTIMAL,111.0,53,22,88
small/tight_delivery/I001,small,tight_delivery,1020,10,300,2,ok,1.129817,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I001,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I001,,INFEASIBLE,,35,25,100
small/tight_delivery/I002,small,tight_delivery,1021,10,300,2,ok,1.143943,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I002,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I002,,INFEASIBLE,,33,26,104
small/tight_delivery/I003,small,tight_delivery,1022,10,300,2,ok,1.11306,/home/fran/Descargas/sarteco-planner-main/data/benchmark/sarteco_synth_v1/small/tight_delivery/I003,/home/fran/Descargas/sarteco-planner-main/results/sarteco_synth_v1/small/tight_delivery/I003,,INFEASIBLE,,33,26,104
