instance_path,meta_scale,meta_scenario,meta_seed,meta_n_orders,time_limit_s,ship_window,storage,staff_factor,run_status,run_error,run_elapsed_s,status,objective,horizon_days,num_units,num_operations
medium/baseline/I002,medium,baseline,1061,20,300,0,50,1.2,ok,,6.566426,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,5,0.8,ok,,6.731335,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,5,1.0,ok,,6.751083,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,5,1.2,ok,,6.68735,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,10,0.8,ok,,6.69588,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,10,1.0,ok,,6.683723,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,10,1.2,ok,,6.678938,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,20,0.8,ok,,6.6838,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,20,1.0,ok,,6.685067,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,20,1.2,ok,,6.670496,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,50,0.8,ok,,6.697483,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,50,1.0,ok,,6.71615,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,2,50,1.2,ok,,6.688728,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,5,0.8,ok,,6.700359,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,5,1.0,ok,,6.708326,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,5,1.2,ok,,6.656108,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,10,0.8,ok,,6.655091,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,10,1.0,ok,,6.772421,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,10,1.2,ok,,6.675373,INFEASIBLE,,60,71,284
medium/baseline/I002,medium,baseline,1061,20,300,5,20,0.8,ok,,6.671117,INFEASIBLE,,60,71,284
